"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"TATAPOWER","-","69700050","71021000","67216200","59097650","55216000","52086900","57333000","56293350","49919150","54673700","50345450","58928000","17.05","464.35","421.95","-9.13"
"INDIANB","-","6277000","7237000","5959000","6493000","9082000","10540000","9221000","9581000","9695000","8819000","9584000","11200000","16.86","902.15","838.05","-7.11"
"INDHOTEL","-","21819000","27828000","24810000","26292000","26363000","26533000","25686000","27355000","22577000","21132000","21287000","24827000","16.63","654.5","659.3","0.73"
"NTPC","-","128206500","103177500","95425500","98898000","96624000","89491500","87679500","84417000","100758000","83194500","111198000","129490500","16.45","408.65","392.65","-3.92"
"CROMPTON","-","35661600","39115800","41599800","48340800","55828800","51570000","55515600","52293600","48740400","47563200","46562400","53836500","15.62","271.13","290.55","7.16"
"POWERINDIA","-","-","-","-","-","148300","169650","233950","269600","263600","285000","384300","441375","14.85","32965","36250","9.97"
"NUVAMA","-","-","-","622500","1683750","1929375","1632500","2486500","2693000","1759500","1680000","1378000","1574000","14.22","1382.8","1523.8","10.2"
"LTM","-","-","-","-","-","-","-","-","-","-","3658800","3315300","3776550","13.91","4299.1","3972.6","-7.59"
"ABB","-","2101625","2730875","2793875","2319125","2395625","2915875","2254250","2184250","2218625","1981000","2190625","2493625","13.83","7304.5","6784.5","-7.12"
"GODREJPROP","-","5837150","6923950","7479725","9491900","8339375","8275025","8932550","12864775","8196375","7869125","7006725","7964100","13.66","1834","1771.7","-3.4"
"TCS","-","21511875","28867650","28021700","30646875","26873525","27336575","19241600","20025600","27375950","34205150","36184225","40967925","13.22","2412.5","2287.5","-5.18"
"PNBHOUSING","-","9824100","9108450","16416400","15073500","17074850","15700750","15513550","15292550","11819600","12663300","10257000","11605750","13.15","1050.1","1100.7","4.82"
"ALKEM","-","1238000","1138500","1511125","1467375","1484000","1583750","1513125","1260125","1246375","1130875","1089250","1231125","13.03","5418","5420.5","0.05"
"NYKAA","-","43912500","46828125","66096875","56528125","60525000","60406250","47531250","36640625","46106250","42481250","45156250","51034375","13.02","271.78","268.15","-1.34"
"APLAPOLLO","-","3352300","4876200","6574400","9427950","9798250","7197400","8823500","10278800","5703950","4711000","4875500","5507250","12.96","1991","1884","-5.37"
"TVSMOTOR","-","7306600","7429800","8248100","9755900","8673700","7746375","7556850","8105300","8405600","8112125","8452150","9531900","12.77","3515.4","3470.1","-1.29"
"RBLBANK","-","78787625","75650725","37868225","73025000","69107050","71548625","75317350","78349475","56921400","72304275","59750325","67262375","12.57","323.25","347.15","7.39"
"ZYDUSLIFE","-","8675100","8605800","8898300","7991100","7430400","9616500","10387800","8824500","9594900","8974800","9580500","10690200","11.58","917.2","1084.55","18.25"
"VMM","-","-","-","-","-","-","-","-","-","-","-","28033000","31224300","11.38","126.74","121.82","-3.88"
"CDSL","-","8977975","9327575","9391225","8530525","8505825","8779900","10164525","9921800","9910875","10328400","10633350","11836050","11.31","1319.8","1233.3","-6.55"
"LICI","-","12919200","13031200","15366400","12682600","16280600","17416000","20962200","20361600","20736800","16671200","18629800","20690600","11.06","405.5","430.63","6.2"
"BANKBARODA","-","92576250","103784850","114344100","127257975","117207675","92444625","78147225","83459025","81370575","112907925","107025750","118860300","11.06","269.5","272.85","1.24"
"RVNL","-","10012750","15202000","24789875","31466875","34480875","43067475","41759075","46507925","62607350","51676150","47368025","52314575","10.44","305.44","256.6","-15.99"
"ADANIPORTS","-","24211225","21720800","22870775","22524025","25001625","23721500","25061950","25401575","21285225","20057825","19546250","21572600","10.37","1647.5","1816.6","10.26"
"GAIL","-","103020750","91715400","102601800","99001350","85380750","72324000","84627900","93429000","94225950","88622100","70131600","77355450","10.3","166.23","168.94","1.63"
"DMART","-","4125750","5244150","4904700","5892300","5851950","5203500","5049300","4919550","5267550","5052450","3322500","3652800","9.94","4571.2","4136.2","-9.52"
"NMDC","-","233793000","239962500","250290000","271242000","297445500","324999000","346302000","337797000","338013000","330581250","320577750","352255500","9.88","91.39","91.36","-0.03"
"INFY","-","55417600","68042800","70448000","60791200","59595200","70428800","70956400","66801600","83828400","78538400","84826000","93046800","9.69","1155","1166","0.95"
"RELIANCE","-","97795000","119869500","125207000","132937000","116122000","104515000","98293500","119994500","107861000","90249000","104304000","114260000","9.55","1394.1","1363.9","-2.17"
"BPCL","-","40159650","37398600","32891650","33705350","34090475","29188525","24776375","31368925","33130625","56242075","45227500","49487575","9.42","309.8","306.3","-1.13"
"MANKIND","-","834300","1610775","1823850","1631250","1536975","2228625","2175975","1993500","2279925","2643525","3328200","3632675","9.15","2273","2440.6","7.37"
"INDIGO","-","8537100","7156500","8718300","8556750","7564800","6942300","8682450","8117700","8208300","8144550","6856800","7481850","9.12","4472.3","4507.3","0.78"
"IRFC","-","46431250","41701000","40689500","39240250","42262000","40137000","56954250","57039250","60554000","57583250","51590750","56018975","8.58","105.52","98.64","-6.52"
"POLYCAB","-","2139750","1832125","1526375","1806000","1849375","1499500","2538250","3505875","2846625","1914250","1724750","1870125","8.43","8281","9617.5","16.14"
"BAJAJHLDNG","-","-","-","-","-","-","-","-","205900","182350","264550","252600","273750","8.37","10299","10629","3.2"
"SHREECEM","-","262700","252125","235075","221100","277625","257325","288800","251000","327250","362200","371950","399875","7.51","24620","24905","1.16"
"HDFCBANK","-","219600700","207428100","229709700","230891100","204470200","212767500","220177100","261030550","273760850","358021950","328759200","353434050","7.51","785.25","771.85","-1.71"
"GRASIM","-","10970500","12934000","12941250","13765250","15429500","16049000","15632000","15952250","16070750","14373000","14310000","15312250","7","2800.1","3187.3","13.83"
"ADANIENSOL","-","18848700","19510875","19248300","17710650","18370125","19206450","17489250","21120075","21472425","19449450","18577350","19869300","6.95","1445.3","1469.3","1.66"
"POWERGRID","-","82760200","70231600","76013300","77457300","74257700","69908600","92155700","96550400","78432000","72209500","80421300","85843900","6.74","320.05","294.7","-7.92"
"SWIGGY","-","-","-","-","-","-","-","-","26552500","47299200","49361000","40556100","43264025","6.68","284.65","256.1","-10.03"
"MFSL","-","6859200","5218400","4511200","5702400","6213600","6829600","8475200","8920000","8914000","10552800","9128000","9713200","6.41","1620","1739","7.35"
"IDFCFIRSTB","-","390848500","379199100","429590175","401422000","380831500","352171750","321211800","287311675","436694825","445802875","389624200","413321825","6.08","69.16","70.65","2.15"
"HINDUNILVR","-","18533700","15723900","15006600","15218700","17232900","14979000","12360000","13632300","15509100","15860700","14736300","15632400","6.08","2301.6","2195.1","-4.63"
"CONCOR","-","14716000","19470000","21641250","23835000","26328750","38847500","36501250","31270000","31242500","25457500","23135000","24438750","5.64","513.25","479","-6.67"
"BLUESTARCO","-","975975","1258400","1422525","1887925","1479075","1744600","2270450","2364700","2801175","2294825","2733575","2878850","5.31","1878.6","1651","-12.12"
