"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"DLF","-","40590825","34889250","35650725","43154925","35175525","43635075","47213925","57932325","54456600","52215075","45620850","41181650","-9.73","590.5","593.05","0.43"
"PAGEIND","-","150855","280080","235920","196770","206355","228135","237960","282225","233400","303375","309150","278895","-9.79","37730","38375","1.71"
"NESTLEIND","-","19997000","20851000","20469000","18151500","17777500","16012500","16110500","17714000","15803500","17081000","14938500","13448000","-9.98","1444","1437","-0.48"
"JSWSTEEL","-","36955575","37548900","41523300","45366750","46495350","43946550","49127175","50766750","51925725","50391450","49117725","44155800","-10.1","1288.3","1301.2","1"
"MPHASIS","-","4754750","4071375","3833500","4007850","3577200","5874275","5384500","4601300","5268450","5041300","4748700","4254250","-10.41","2280.5","2287.4","0.3"
"OBEROIRLTY","-","5013750","5087950","4615800","4538800","4496800","4336500","4090450","5371100","5278700","8495550","6968500","6223700","-10.69","1709","1685.7","-1.36"
"AUROPHARMA","-","17353600","18579550","19037700","19018450","24365550","24153250","21865250","21022650","22605550","19833000","20213050","18051550","-10.69","1430.7","1474.2","3.04"
"PRESTIGE","-","3675150","5158350","4775850","4611600","3920850","3771000","3783600","4220100","4343850","6241050","5899950","5265000","-10.76","1408.6","1414.2","0.4"
"DIVISLAB","-","2826400","2970800","2465200","2609800","2298500","3172500","3284700","3342900","2758300","2665400","2475500","2207400","-10.83","6450","6800.5","5.43"
"PHOENIXLTD","-","3426150","4010650","3638600","4305000","4270700","3515400","3098900","3916500","3853850","3701950","3960600","3513300","-11.29","1770.7","1796.1","1.43"
"JSWENERGY","-","36270000","41504000","39886000","39233000","40560000","43903000","42493000","33931000","31018000","27130000","25041000","22030825","-12.02","583.85","578.5","-0.92"
"INOXWIND","-","39206325","27861080","41325360","47080808","53758960","80352163","89117600","92174225","100257300","104701025","92885650","81652100","-12.09","103.58","96.95","-6.4"
"EICHERMOT","-","3052350","3021550","4295375","3985275","3331825","3039725","2954400","2901200","3048600","3535600","3597500","3158700","-12.2","7116.5","7412","4.15"
"TRENT","-","5599800","7104100","6283600","8360100","8154500","8042100","8500100","7949400","6697600","6618300","7113300","6240250","-12.27","4266.5","4228.4","-0.89"
"HCLTECH","-","13841800","19672800","18619300","19879650","17059350","17508750","15797950","17423350","24957800","34183800","45397450","39810600","-12.31","1200","1161.3","-3.22"
"ICICIGI","-","4902300","4884750","5009225","4987775","5811325","5707650","5272800","5490550","4752800","4860050","5360550","4654000","-13.18","1782.1","1866.6","4.74"
"JIOFIN","-","95778950","109502950","113982050","137681800","146550700","150886450","157774300","165000550","173298400","157229100","199258850","172856600","-13.25","251.89","242.09","-3.89"
"JUBLFOOD","-","20720000","19811250","22958750","20536250","21560000","18785000","23321250","23485000","23665000","24201250","38360000","33130000","-13.63","478.75","430.55","-10.07"
"IDEA","-","4824062175","5329033050","5569832325","5929351575","6441684375","6326395200","6669832575","7015485675","6931574025","6424244475","6476635650","5560040250","-14.15","10.01","14.22","42.06"
"POLICYBZR","-","5855150","7751450","7051100","7564550","8360100","7570850","6007750","6780900","9600150","7728700","8556100","7315350","-14.5","1674.6","1797.9","7.36"
"CAMS","-","9624750","10687500","10331250","9269250","10008000","7734750","7620000","6741000","6446250","5038500","6683250","5712675","-14.52","761.05","775.05","1.84"
"KEI","-","952175","881825","900025","1207150","1135400","997150","900550","1104600","1390900","1932700","1639050","1393175","-15","4971.7","5338.2","7.37"
"OFSS","-","926025","994425","856125","1004775","1253775","1269675","1324725","1125525","1478250","1572225","1245150","1056725","-15.13","9408","9783","3.99"
"CUMMINSIND","-","3710200","3363400","3096200","3009600","3017200","3104400","3246400","3460200","3493800","3397800","3955600","3356000","-15.16","5268.9","5462","3.66"
"PETRONET","-","38782800","37605600","36849600","37812600","42721200","42934300","43964100","40052000","36785900","33582500","32566000","27114900","-16.74","279.04","281.85","1.01"
"ASIANPAINT","-","13893000","13881750","13810500","13347500","12533500","10674500","13268750","13042750","12576250","13998750","13638000","11234000","-17.63","2478","2646.4","6.8"
"SUNPHARMA","-","17540600","19349750","15823500","16593500","17628450","14996800","16637950","20091750","22241450","17082450","28378350","23211650","-18.21","1758.9","1855","5.46"
"ULTRACEMCO","-","2921100","2518000","2239800","2386350","2513000","2480000","3042700","2793950","2041900","2308150","3035300","2471850","-18.56","11841","11700","-1.19"
"NATIONALUM","-","60641250","63641250","65085000","79920000","75011250","67893750","53486250","48011250","57191250","58286250","51251250","41538750","-18.95","441.45","418.45","-5.21"
"OIL","-","16619400","10215800","11243400","9069200","9486400","10865400","10764600","12714800","16350600","22670200","18970000","15373400","-18.96","500.6","496.35","-0.85"
"MCX","-","9246875","11390625","10471875","11760000","13481250","12000625","14330625","14710000","11579375","12190000","12948125","10481625","-19.05","2913.9","3321.6","13.99"
"COFORGE","-","12146250","14785500","11112750","13277250","13209750","12800250","17523375","12298500","22542750","19780125","18925875","15218825","-19.59","1203.6","1424.1","18.32"
"LODHA","-","5415750","9149850","8471700","9400050","11450700","9686700","12586050","12303900","7582950","21714300","15430950","12373150","-19.82","887","908.85","2.46"
"DABUR","-","23202500","16286250","20040000","25941250","18365000","17086250","20101250","22565000","24166250","31136250","28113750","22542500","-19.82","451.9","450.55","-0.3"
"MARICO","-","19552800","20955600","26749200","27758400","26947200","31303200","32834400","29211600","26408400","26376000","22202400","17654400","-20.48","784","834.35","6.42"
"KOTAKBANK","-","132422000","160156000","186424000","192204000","158022000","181406000","206478000","198706000","190636000","211856000","234284000","185406000","-20.86","380.35","390.9","2.77"
"ASTRAL","-","5421725","5674175","7302775","7461300","8120050","7825950","7470650","7237750","7816600","8959850","9238225","7250075","-21.52","1546.7","1565.7","1.23"
"TATAELXSI","-","1943700","2032100","2219300","2593600","2498000","2159800","1464200","1202000","1526500","1772800","2398100","1874450","-21.84","4137.6","4247.2","2.65"
"PERSISTENT","-","2516600","2966100","2419700","3034800","2491100","1975100","2286000","2087100","4660500","5410100","4338400","3391075","-21.84","4824.9","5111.8","5.95"
"ICICIPRULI","-","15642675","13505925","11371950","11836300","12082350","13899975","16458525","13312600","18199375","17694325","20552575","16062625","-21.85","522.25","524.1","0.35"
"EXIDEIND","-","22318200","21457800","29970000","30709800","35314200","33163200","30965400","31075200","28899000","28825200","27757800","21601800","-22.18","357.75","368.15","2.91"
"SAMMAANCAP","-","-","-","-","99282700","99093500","85514100","78105200","80414300","111554900","111838700","104111600","78840500","-24.27","144.41","169.05","17.06"
"SBILIFE","-","9017250","7039125","7111500","6782625","7340250","7554000","8050125","9742875","8668125","10024875","10877625","8166750","-24.92","1814.8","1892","4.25"
"FINNIFTY","-","70070","75140","85280","28665","35360","29960","33120","50100","22620","16920","23460","13860","-40.92","26091.5","26061.8","-0.11"
